variable,definicion,tipo,unidad,capa,archivos,construccion_notas
flujo_anual_superior_gtq,Valor monetario anual del límite superior de pérdida,numérico,GTQ por año,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,resultado_superior_anual_ha por valor_unitario_gtq_ha_anio
fuente,Referencia abreviada del dato o parámetro,texto,no aplica,entrada y procesada,01_metodologia/parametros/parametros_valoracion_servicios_ecosistemicos_guatemala_2019_2026.csv; 00_trazabilidad_fuentes/costos_contextuales_no_aditivos_guatemala_2026.csv,Consultar 00_trazabilidad_fuentes/registro_fuentes_saldo_forestal_guatemala.csv para trazabilidad completa
fuente_intervalo,Identificador de la fuente del intervalo regional,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Vincula cada municipio incluido con la fuente de su proporción
fuente_universo,Identificador de la fuente del universo territorial,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Referencia la base INAB 2016-2020 usada como universo
ganancia_bruta_ha,Nombre original de la ganancia de cobertura reportada,numérico,ha acumuladas 2016-2020,entrada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv,Se renombra como recuperacion_bruta_ha al leer la base
horizonte_servicios_anios,Número de años de servicios valorados para cada cohorte,entero,años,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,Valor central igual a 25
indicador_fuente,Indicador expresado originalmente por la fuente,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/costos_contextuales_no_aditivos_guatemala_2026.csv,Se conserva como contexto documental
intervalo_efectivo_anios,Duración efectiva usada por el estudio histórico,numérico,años,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,Puede diferir de la resta entre años nominales
justificacion,Razón ecológica u operativa de la región de referencia,texto,no aplica,entrada y procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,Documenta la correspondencia y no implica validación de campo municipal
multiplicador_perdida_bruta,Factor aplicado a la pérdida bruta en un escenario,numérico adimensional,proporción,entrada y procesada,01_metodologia/parametros/supuestos_escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Debe ser no negativo
multiplicador_recuperacion,Factor aplicado a la recuperación en un escenario,numérico adimensional,proporción,entrada y procesada,01_metodologia/parametros/supuestos_escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Debe ser no negativo y aumentar si el escenario se denomina restauración
municipio,Nombre de la unidad municipal o lacustre,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv; 00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Debe interpretarse junto con tipo_unidad
municipios,Número de municipios incluidos en un agregado o transición,entero,municipios,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_dominio_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_regiones_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_departamentos_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resumen_manglar_guatemala_2016_2020.csv; 02_resultados_y_diccionario/transiciones_clasificacion_ponderada_municipios_guatemala_2016_2020.csv,No incluye unidades lacustres salvo declaración distinta
municipios_con_proporcion,Número de unidades de la completación que pertenecen al dominio de aplicación,entero,municipios,procesada,02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,Valor esperado 172
nota,Advertencia o aclaración del parámetro,texto,no aplica,entrada,01_metodologia/parametros/parametros_valoracion_servicios_ecosistemicos_guatemala_2019_2026.csv,Debe acompañar la interpretación del valor
origen_decision,Procedencia lógica de la asignación territorial,texto,categoría,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Distingue atributos directos de la fuente y el procedimiento_reconstruido documentado
numero_cohortes,Número de cohortes anuales de pérdida en la trayectoria valorada,entero,cohortes,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,Valor central igual a 10
parametro,Identificador del parámetro de valoración,texto,no aplica,entrada,01_metodologia/parametros/parametros_valoracion_servicios_ecosistemicos_guatemala_2019_2026.csv,Clave estable dentro del archivo
perdida_bruta_anual_ha,Tasa media anual de pérdida bruta,numérico,ha por año,procesada,02_resultados_y_diccionario/resultados_institucionales_*guatemala_2016_2020.csv; 02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,perdida_bruta_ha dividida entre cuatro
perdida_bruta_anual_reportada_ha,Pérdida bruta anual publicada para el periodo histórico,numérico,ha por año,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,Se conserva como cifra reportada y no se recalcula desde años nominales
perdida_bruta_ha,Pérdida de cobertura antes de restar recuperación,numérico,ha acumuladas 2016-2020,entrada y procesada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_*_guatemala_2016_2020*.csv,Variable B del marco analítico
perdida_bruta_total_ha,Pérdida bruta total publicada para un periodo histórico,numérico,ha,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,Periodo indicado por anio_inicial y anio_final
perdida_neta_anual_ha,Tasa media anual de pérdida neta,numérico,ha por año,procesada,02_resultados_y_diccionario/resultados_institucionales_*guatemala_2016_2020.csv; 02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,perdida_neta_ha dividida entre cuatro
perdida_neta_anual_reportada_ha,Pérdida neta anual publicada para el periodo histórico,numérico,ha por año,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,Se conserva como cifra reportada
perdida_neta_calculada_ha,Pérdida neta recalculada para control,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_institucionales_municipios_guatemala_2016_2020.csv,perdida_bruta_ha menos recuperacion_bruta_ha
perdida_neta_ha,Pérdida neta institucional,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_*_guatemala_2016_2020*.csv,Variable N igual a B-R con positivo como pérdida
perdida_neta_total_ha,Pérdida neta total publicada para un periodo histórico,numérico,ha,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,No debe confundirse con la tasa anual reportada
periodo,Etiqueta del periodo histórico,texto,años,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,Por ejemplo 1991-2001
porcentaje_fila,Participación de una transición dentro de su clasificación institucional de origen,numérico,porcentaje,procesada,02_resultados_y_diccionario/transiciones_clasificacion_ponderada_municipios_guatemala_2016_2020.csv,Cociente entre municipios de la celda y total de su fila multiplicado por cien
proporcion_estructural_max,Límite superior de la proporción local de trayectorias favorables,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/intervalo_estructural_manglar_guatemala.csv; 02_resultados_y_diccionario/resultados_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,(favorables más mixtas) dividido entre 55 igual a 34/55
proporcion_estructural_min,Límite inferior de la proporción local de trayectorias favorables,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/intervalo_estructural_manglar_guatemala.csv; 02_resultados_y_diccionario/resultados_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,favorables dividido entre 55 igual a 30/55
proporcion_recuperacion,Descripción de la proporción reconocida por el método,texto,proporción o parámetro,procesada,02_resultados_y_diccionario/resultados_forestales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,Valores 0 1 o rho20 dentro del dominio y 1 fuera
recuperacion_20_anios,Representación textual del intervalo de recuperación de biomasa a veinte años,texto,porcentaje,entrada y procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,Campo de comunicación complementario a rho20_min rho20_central y rho20_max
recuperacion_bruta_anual_ha,Tasa media anual de ganancia de cobertura,numérico,ha por año,procesada,02_resultados_y_diccionario/resultados_institucionales_*guatemala_2016_2020.csv; 02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,recuperacion_bruta_ha dividida entre cuatro
recuperacion_bruta_ha,Recuperación reportada o ganancia de cobertura,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_*_guatemala_2016_2020*.csv,Variable R del marco analítico y nombre normalizado de ganancia_bruta_ha
recuperacion_implicita_total_ha,Recuperación histórica inferida como diferencia entre pérdida bruta y neta,numérico,ha,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,No es una observación independiente cuando se deriva por diferencia
region_id,Identificador de región analítica asignada al municipio,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,Incluye regiones elegibles y excluidas
region_nombre,Nombre descriptivo de la región de referencia,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv; 02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_*_guatemala_2016_2020.csv,No es una división administrativa oficial
registros_parcela,Número de registros de parcela asociados al municipio,entero,registros,entrada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv,Suma 75 en el archivo aunque el portal menciona 76 para el universo del servicio
regla,Nombre interno del resultado forestal,texto,categoría,procesada,02_resultados_y_diccionario/resultados_forestales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/sensibilidad_valor_presente_guatemala_precios_2026.csv; 02_resultados_y_diccionario/escenarios_forestales*_guatemala_2026_2035.csv; 02_resultados_y_diccionario/trayectorias_forestales_fisicas_guatemala_2026_2035.csv,Deforestación bruta saldo ponderado por recuperación o pérdida neta institucional
regla_id,Identificador estable de la regla territorial aplicada,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Permite auditar listas explícitas regla residual y unidades no municipales
revision_ecologica,Estado de revisión ecológica de la correspondencia,texto,categoría,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Pendiente para las correspondencias que requieren contraste espacial
resultado_inferior_anual_ha,Límite inferior anualizado del resultado físico,numérico,ha por año,procesada,02_resultados_y_diccionario/resultados_forestales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Resultado inferior del periodo dividido entre cuatro
resultado_inferior_decada_ha,Límite inferior acumulado de diez años,numérico,ha,procesada,02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Resultado inferior anual multiplicado por diez
resultado_inferior_ha,Límite inferior del resultado forestal,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_forestales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,En un intervalo ponderado usa la proporción máxima
resultado_inferior_ha_periodo_base,Límite inferior del escenario sobre el periodo base,numérico,ha por periodo base,procesada,02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,mB por B menos rho máxima por mR por R
resultado_superior_anual_ha,Límite superior anualizado del resultado físico,numérico,ha por año,procesada,02_resultados_y_diccionario/resultados_forestales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Resultado superior del periodo dividido entre cuatro
resultado_superior_decada_ha,Límite superior acumulado de diez años,numérico,ha,procesada,02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Resultado superior anual multiplicado por diez
resultado_superior_ha,Límite superior del resultado forestal,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_forestales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,En un intervalo ponderado usa la proporción mínima
resultado_superior_ha_periodo_base,Límite superior del escenario sobre el periodo base,numérico,ha por periodo base,procesada,02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,mB por B menos rho mínima por mR por R
rho20_central,Valor central de la proporción de recuperación de biomasa a veinte años,numérico adimensional,proporción,entrada y procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,Campo directo del catálogo analítico
rho20_max,Límite superior de la proporción de recuperación de biomasa a veinte años,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,Produce el límite inferior de pérdida ponderada
rho20_min,Límite inferior de la proporción de recuperación de biomasa a veinte años,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,Produce el límite superior de pérdida ponderada
rho_aplicada_max,Proporción máxima aplicada a la unidad en la completación nacional,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/completacion_conservadora_unidades_guatemala_2016_2020.csv,rho20_max dentro del dominio y uno fuera
rho_aplicada_min,Proporción mínima aplicada a la unidad en la completación nacional,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/completacion_conservadora_unidades_guatemala_2016_2020.csv,rho20_min dentro del dominio y uno fuera
rho_critica,Proporción de recuperación necesaria para que el saldo sea cero,numérico adimensional,proporción,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,perdida_bruta_ha dividida entre recuperacion_bruta_ha y ausente si R es cero
saldo_estructural_inferior_ha,Límite inferior de pérdida bajo la proporción estructural local,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resumen_manglar_guatemala_2016_2020.csv,B menos proporcion_estructural_max por R
saldo_estructural_superior_ha,Límite superior de pérdida bajo la proporción estructural local,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resumen_manglar_guatemala_2016_2020.csv,B menos proporcion_estructural_min por R
saldo_ponderado_central_ha,Saldo con la proporción central de recuperación,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,B menos rho20_central por R
saldo_ponderado_inferior_anual_ha,Límite inferior anualizado del saldo ponderado nacional,numérico,ha por año,procesada,02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,saldo_ponderado_inferior_ha dividido entre cuatro
saldo_ponderado_inferior_ha,Límite inferior del saldo ponderado,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_*_guatemala_2016_2020.csv; 02_resultados_y_diccionario/completacion_conservadora_*_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,B menos la proporción máxima por R
saldo_ponderado_superior_anual_ha,Límite superior anualizado del saldo ponderado nacional,numérico,ha por año,procesada,02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,saldo_ponderado_superior_ha dividido entre cuatro
saldo_ponderado_superior_ha,Límite superior del saldo ponderado,numérico,ha acumuladas 2016-2020,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_*_guatemala_2016_2020.csv; 02_resultados_y_diccionario/completacion_conservadora_*_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,B menos la proporción mínima por R
series_adultas,Número de series o mediciones clasificadas como adultas,entero,series,entrada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv,Se conserva como atributo de procedencia y no entra directamente en 30/55-34/55
series_multitemporales,Número de series comparables con más de una medición,entero,series,entrada y procesada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv; 02_resultados_y_diccionario/intervalo_estructural_manglar_guatemala.csv,Suma 55 y constituye el denominador del intervalo estructural
